"","state","zip","agi"
"387","AL",36312,49736
"388","AL",36314,40500
"389","AL",36316,52759
"390","AL",36317,34375
"391","AL",36318,50797
"392","AL",36319,50710
"393","AL",36320,41044
"394","AL",36321,40709
"395","AL",36322,43185
"396","AL",36323,43285
"397","AL",36330,56960
"398","AL",36340,42354
"399","AL",36343,35560
"400","AL",36344,44021
"401","AL",36345,54083
"402","AL",36346,47954
"403","AL",36350,45974
"404","AL",36351,53846
"405","AL",36352,52691
"406","AL",36353,43674
"407","AL",36360,46668
"408","AL",36362,49439
"409","AL",36370,40625
"410","AL",36373,29166
"411","AL",36374,49479
"412","AL",36375,42545
"413","AL",36376,39204
"414","AL",36401,37233
"415","AL",36420,47307
"416","AL",36421,52754
"417","AL",36425,32638
"418","AL",36426,45244
"419","AL",36432,38015
"420","AL",36435,26250
"421","AL",36436,38815
"422","AL",36441,46919
"423","AL",36442,38606
"424","AL",36444,35227
"425","AL",36445,42277
"426","AL",36451,50654
"427","AL",36453,47988
"428","AL",36456,40104
"429","AL",36460,48712
"430","AL",36467,44212
"431","AL",36471,34935
"432","AL",36474,44642
"433","AL",36475,40972
"434","AL",36477,43529
"435","AL",36480,49107
"436","AL",36481,21590
"437","AL",36482,30625
"438","AL",36483,37500
"439","AL",36502,41308
"440","AL",36505,50604
"441","AL",36507,47383
"442","AL",36509,33283
"443","AL",36511,34523
"444","AL",36518,61320
"445","AL",36521,51522
"446","AL",36522,44832
"447","AL",36523,42924
"448","AL",36524,44047
"449","AL",36525,53810
"450","AL",36526,68007
"451","AL",36527,84415
"452","AL",36528,69301
"453","AL",36529,52604
"454","AL",36530,47209
"455","AL",36532,71581
"456","AL",36535,43142
"457","AL",36538,35833
"458","AL",36539,55092
"459","AL",36540,30067
"460","AL",36541,50491
"461","AL",36542,53745
"462","AL",36544,42316
"463","AL",36545,47916
"464","AL",36548,59183
"465","AL",36549,51518
"466","AL",36551,49666
"467","AL",36553,42480
"468","AL",36555,67324
"469","AL",36558,53007
"470","AL",36560,35778
"471","AL",36561,69063
"472","AL",36562,44006
"473","AL",36567,45121
"474","AL",36569,53629
"475","AL",36571,56853
"476","AL",36572,62585
"477","AL",36574,50669
"478","AL",36575,51588
"479","AL",36576,48529
"480","AL",36578,57164
"481","AL",36579,50342
"482","AL",36580,43464
"483","AL",36582,46128
"484","AL",36583,64062
"485","AL",36584,49074
