state,zip,agi
California,71851,34593
California,71852,41427
California,71853,40277
California,71854,46030
California,71855,28125
California,71857,40044
California,71858,40401
California,71859,33653
California,71860,41091
California,71861,53365
California,71862,32812
California,71866,46195
California,71901,46717
California,71909,64300
California,71913,48168
California,71921,40736
California,71923,47147
California,71929,46335
California,71933,40865
California,71935,33152
California,71937,37689
California,71940,42272
California,71941,46654
California,71943,39955
California,71944,38500
California,71945,38265
California,71949,40178
California,71950,34558
California,71953,42896
California,71956,35714
California,71957,42226
California,71958,42631
California,71959,39673
California,71960,32848
California,71961,35984
California,71962,44642
California,71964,45292
California,71965,35416
California,71968,50480
California,71969,32954
California,71970,36413
California,71971,32812
California,71972,44642
California,71973,35500
California,72001,33333
California,72002,56946
California,72003,54741
California,72004,31521
California,72006,35000
California,72007,58283
California,72010,46916
California,72011,50197
California,72012,50477
California,72013,50500
California,72015,51089
California,72016,52582
California,72017,38541
California,72019,68407
California,72020,40648
California,72021,36242
California,72022,60759
California,72023,60026
California,72024,51215
California,72025,46774
California,72026,42045
California,72027,49000
California,72029,37857
California,72030,40384
California,72031,44500
California,72032,47260
California,72034,58458
California,72036,25500
California,72039,48255
California,72040,43325
California,72041,44951
California,72042,45540
California,72044,48529
California,72045,51111
California,72046,44748
California,72047,49085
California,72051,35000
California,72055,49264
California,72057,52840
California,72058,59682
California,72060,34722
California,72061,52777
California,72063,50201
California,72064,46045
California,72065,57683
California,72067,47405
California,72068,32236
California,72069,37755
California,72070,46691
California,72072,37500
California,72073,40885
California,72076,41550
California,72079,43750
California,72080,41666
California,72081,42304
California,72082,28225
California,72084,42559
California,72086,48967
California,72087,46428
California,72088,48046
California,72101,43700
California,72102,42647
California,72103,42737
California,72104,44089
California,72106,49111
California,72110,47676
California,72111,48750
California,72112,43175
California,72113,70439
California,72114,26566
California,72116,67167
California,72117,34219
California,72118,40357
California,72120,59718
California,72121,47164
California,72122,69642
California,72125,40357
California,72126,47688
California,72127,47777
California,72128,45955
California,72129,48863
California,72130,38970
California,72131,53177
California,72132,53645
California,72134,40131
California,72135,76250
California,72136,47348
California,72137,45877
California,72140,33653
California,72141,36111
California,72142,61818
California,72143,52821
California,72150,55984
California,72152,32500
California,72153,39444
California,72156,56730
California,72157,48464
California,72160,47805
California,72166,37500
California,72167,42857
California,72168,32954
California,72173,58178
California,72175,29807
California,72176,47210
California,72179,37500
California,72181,45192
California,72201,77546
California,72202,47022
California,72204,33001
California,72205,57111
California,72206,39085
California,72207,94225
California,72209,28165
California,72210,53805
California,72211,71092
California,72212,99725
California,72223,98887
California,72227,69356
California,72301,34776
California,72315,42666
California,72324,39500
California,72326,39835
California,72327,43237
California,72330,37500
California,72331,28960
California,72333,32500
California,72335,33381
California,72342,39329
California,72346,31818
California,72347,35648
California,72348,37198
California,72350,31617
California,72354,38823
California,72355,39914
California,72358,28409
California,72360,34767
California,72364,56232
California,72365,37385
California,72366,40296
California,72368,50000
California,72370,36326
California,72372,40068
California,72373,28055
California,72374,36637
California,72376,44140
California,72384,27651
California,72386,43750
California,72390,30333
California,72392,34558
California,72394,29687
California,72395,46511
California,72396,46300
California,72401,45762
California,72404,63019
California,72410,31944
California,72411,40198
California,72412,45454
California,72413,36184
California,72414,39166
California,72415,33173
California,72416,45907
California,72417,46184
California,72419,40732
California,72421,35227
California,72422,42941
California,72425,29687
California,72429,40625
California,72430,31250
California,72432,41757
California,72433,33801
California,72434,42736
California,72435,32812
California,72436,38815
California,72437,42708
California,72438,43342
California,72440,35416
California,72442,50657
California,72443,42056
California,72444,37298
California,72447,49305
California,72450,47320
California,72454,42002
California,72455,42706
California,72456,35000
California,72458,38586
California,72459,37500
California,72460,37500
California,72461,41911
California,72466,42559
California,72469,38214
California,72470,31250
California,72471,37500
California,72472,37908
California,72473,42069
California,72476,42609
California,72478,31250
California,72479,49000
California,72482,29411
California,72501,47714
California,72512,36500
California,72513,43500
California,72517,30357
California,72519,43552
California,72520,29166
California,72521,41500
California,72522,37500
California,72523,35227
California,72524,37500
California,72527,36538
California,72529,37418
California,72530,45774
California,72531,43055
California,72532,40740
California,72533,28409
California,72534,47074
California,72536,33088
California,72537,48750
California,72538,32500
California,72539,34375
California,72542,36231
California,72543,50736
California,72544,38500
California,72550,47727
California,72554,36138
California,72556,46590
California,72560,41337
California,72561,43750
California,72562,42469
California,72564,39062
California,72565,33467
California,72566,44444
California,72567,27083
California,72568,40808
California,72569,30147
California,72571,40625
California,72573,31250
California,72576,40413
California,72577,36500
California,72579,42500
California,72581,50297
California,72583,41008
California,72584,36184
California,72601,46020
California,72611,40858
California,72616,38558
California,72619,38311
California,72623,44791
California,72624,32812
California,72626,46428
California,72628,34375
California,72629,31250
California,72631,49357
California,72632,39855
California,72633,40625
California,72634,40183
California,72635,39670
California,72638,37279
California,72639,27777
California,72640,30357
California,72641,37212
California,72642,46036
California,72644,37634
California,72645,34649
California,72648,31250
California,72650,33069
California,72651,38265
California,72653,46300
California,72655,29166
California,72658,42063
California,72660,31250
California,72661,36363
California,72662,39724
California,72663,29166
California,72666,28409
California,72668,40441
California,72675,35500
California,72679,17934
California,72680,33333
California,72682,37500
California,72683,31250
California,72685,36519
California,72687,40934
California,72701,56097
California,72703,60832
California,72704,60594
California,72712,80753
California,72714,70506
California,72715,66677
California,72717,35775
California,72718,97851
California,72719,66100
California,72721,32500
California,72722,39959
California,72727,48898
California,72729,32954
California,72730,57315
California,72732,54739
California,72734,47418
California,72736,54320
California,72738,52016
California,72739,47159
California,72740,42597
California,72742,34090
California,72744,41884
California,72745,56106
California,72751,52773
California,72752,28409
California,72753,52372
California,72756,49793
California,72758,75454
California,72760,31250
California,72761,47789
California,72762,59909
California,72764,41299
California,72768,32012
California,72769,43571
California,72773,43604
California,72774,50320
California,72776,31944
California,72801,39315
California,72802,59382
California,72821,38135
California,72823,43055
California,72824,36637
California,72830,41140
California,72832,34558
California,72833,38707
California,72834,43037
California,72835,40000
California,72837,50985
California,72840,37837
California,72842,38750
California,72843,44207
California,72845,46276
California,72846,44948
California,72847,48798
California,72851,37500
California,72852,26136
California,72853,37676
California,72854,36413
California,72855,41979
California,72856,29687
California,72857,38031
California,72858,50267
California,72860,34166
California,72863,47574
California,72865,46354
California,72901,35409
California,72903,55721
California,72904,27990
California,72908,54535
California,72916,74840
California,72921,50648
California,72923,40064
California,72926,36029
California,72927,40207
California,72928,41346
California,72930,45833
California,72932,42241
California,72933,52500
California,72934,33035
California,72936,56250
California,72937,44836
California,72938,38750
California,72940,45312
California,72941,52347
California,72943,38172
California,72944,45072
California,72946,43313
California,72947,41406
California,72948,36111
California,72949,45460
California,72950,33333
California,72951,44062
California,72952,47527
California,72955,32500
California,72956,46070
California,72958,34608
California,72959,42427
California,90001,27338
California,90002,26906
California,90003,25482
California,90004,46500
California,90005,39256
California,90006,28090
California,90007,29078
California,90008,48741
California,90010,79402
California,90011,25282
California,90012,51535
California,90013,66464
California,90014,63588
California,90015,51409
California,90016,40223
California,90017,46741
California,90018,34762
California,90019,47635
California,90020,40943
California,90021,60546
California,90022,31373
California,90023,29049
California,90024,102432
California,90025,85865
California,90026,48309
California,90027,62401
California,90028,41956
California,90029,35699
California,90031,35617
California,90032,41038
California,90033,28954
California,90034,61377
California,90035,79894
California,90036,79315
California,90037,26226
California,90038,39177
California,90039,68395
California,90040,38908
California,90041,64860
California,90042,48457
California,90043,47269
California,90044,28327
California,90045,88974
California,90046,71241
California,90047,38947
California,90048,87403
California,90049,119436
California,90056,82385
California,90057,28332
California,90058,34503
California,90059,28673
California,90061,29666
California,90062,31728
California,90063,31619
California,90064,100384
California,90065,55255
California,90066,75740
California,90067,150190
California,90068,87269
California,90069,90724
California,90077,137157
California,90094,118837
California,90201,29942
California,90210,131054
California,90211,97080
